项目,文件名,日期,原文件名,大小,描述,置信度,时长秒,分辨率,帧率,有无音轨,重复于,可用起点秒,可用终点秒,功能位,画质等级,画面元素,镜头特征,工序阶段,脱敏风险,缩略图路径,标注执行者,标注日期,复核状态
化工群,化工_现场施工_260612_003.jpg,260612,12fd66a170075d3cd2a450e12cb6a7b7.jpg,409745,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260809_002.jpg,260809,138cafe0e7410ce12db4fd314662ace7.jpg,419846,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260723_001.jpg,260723,13b9037a77dea3f70a11b66111ce204b.jpg,201350,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260622_003.jpg,260622,13bed1e5fae4802b7a3579a9b2f67b44.jpg,1545204,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260717_007.jpg,260717,14054beffbbca2c493d024fac956382e.jpg,779294,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260613_005.jpg,260613,146768d8e49098c430a4779c8009165a.jpg,418785,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_氯化铵2#污水池清淤_260813_001.jpg,260813,146bd67490e97ce0cad6b652f1bc18ad.jpg,566906,氯化铵2#污水池清淤,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260624_002.jpg,260624,146ec89c5af8fcfa04e1c9312a8bb597.jpg,262858,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260613_006.jpg,260613,150404b81d387d53ecb5f4335af56fc9.jpg,514161,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260625_004.jpg,260625,1541d41d4b0cfbfd81b9dddce59f7db5.jpg,366176,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
